SPA Эко,5000,4000,3000
8+31+2,Массаж с проработкой «Тай + травяные мешочки»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
17+46,Relax массаж Стоун+Программы для похудения «Имбирный коктейль»,210,1,12800
17+34,Relax массаж Стоун+SPA - уход «Мужской комплимент»,210,1,11200
18+12+2,Программы для лица и головы «Лицо»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
18+22+3,Программы для лица и головы «Лицо»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
44+43,Программы для похудения «Слим и тай ойл»+Программы для похудения «Слим»,150,1,10400
19+18+3,Программы для лица и головы «Голова»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
28+44,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для похудения «Слим и тай ойл»,150,1,12800
32+43,SPA - уход «Принцесса сиама»+Программы для похудения «Слим»,150,1,10400
SPA Норм 2,16000,12800,9600
28+17,Массаж в 4 руки «Тай Ойл в 4 руки»+Relax массаж Стоун,150,1,12000
45+4,Программы для похудения «Талассотерапия»+Массаж с проработкой «Восстанавливающий»,180,1,11200
31+45,SPA - уход «Бархатное прикосновение»+Программы для похудения «Талассотерапия»,180,1,11600
4+22+2+6,"Массаж с проработкой «Восстанавливающий»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,11600
1+45,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для похудения «Талассотерапия»,180,1,11200
1+31+5,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Восстанавливающий»,210,1,11200
35+23,SPA - уход «Целебные травы»+Программы для рук и ног «Ноги»,210,1,10800
44+17,Программы для похудения «Слим и тай ойл»+Relax массаж Стоун,180,1,10400
25+34,Массаж в 4 руки «Тай в 4 руки»+SPA - уход «Мужской комплимент»,180,1,12800
12+20+2,Relax массаж «Тай Оил»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
SPA Норм 2,16000,12800,9600
45+22,Программы для похудения «Талассотерапия»+Программы для рук и ног «Руки»,150,1,10000
31+24+3,SPA - уход «Бархатное прикосновение»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12400
46+7,"Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Спина, Шея, и Плечи»",180,1,11200
31+33,SPA - уход «Бархатное прикосновение»+SPA - уход «Королевская спа программа»,180,1,10000
23+35,Программы для рук и ног «Ноги»+SPA - уход «Целебные травы»,210,1,10800
22+18+2+5,Программы для рук и ног «Руки»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
12+34,Relax массаж «Тай Оил»+SPA - уход «Мужской комплимент»,180,1,10000
46+31,Программы для похудения «Имбирный коктейль»+SPA - уход «Бархатное прикосновение»,180,1,11600
8+21+1,Массаж с проработкой «Тай + травяные мешочки»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10400
20+3+5,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12000
15+44,Relax массаж Тай Оил + травяные мешочки+Программы для похудения «Слим и тай ойл»,180,1,10800
23+36,Программы для рук и ног «Ноги»+SPA - уход «Обновление и тонус»,240,1,12800
20+9+3,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12400
22+26,Программы для рук и ног «Руки»+Массаж в 4 руки «Тай в 4 руки»,120,1,10800
33+34,SPA - уход «Королевская спа программа»+SPA - уход «Мужской комплимент»,240,1,12800
SPA Норм 2,16000,12800,9600
15+23+1,Relax массаж Тай Оил + травяные мешочки+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10400
43+12+2,Программы для похудения «Слим»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12800
4+43+2,Массаж с проработкой «Восстанавливающий»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
34+25,SPA - уход «Мужской комплимент»+Массаж в 4 руки «Тай в 4 руки»,180,1,12800
46+12,Программы для похудения «Имбирный коктейль»+Relax массаж «Тай Оил»,180,1,11600
46+24,Программы для похудения «Имбирный коктейль»+Программы для рук и ног «Ноги»,180,1,11200
18+5+3,Программы для лица и головы «Лицо»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12000
34+43,SPA - уход «Мужской комплимент»+Программы для похудения «Слим»,180,1,11200
10+35,Массаж с проработкой «Спорт-oil»+SPA - уход «Целебные травы»,240,1,12800
4+13+1,Массаж с проработкой «Восстанавливающий»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
6+46,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для похудения «Имбирный коктейль»",150,1,10000
SPA Норм 2,16000,12800,9600
31+6+3,"SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,11200
17+33,Relax массаж Стоун+SPA - уход «Королевская спа программа»,210,1,11200
19+4+2+7,"Программы для лица и головы «Голова»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
32+22+1,SPA - уход «Принцесса сиама»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10800
17+31+2,Relax массаж Стоун+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
44+9,Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Тай + травяные мешочки»,180,1,10400
20+23+2+5,Программы для лица и головы «Лицо и голова»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
8+35,Массаж с проработкой «Тай + травяные мешочки»+SPA - уход «Целебные травы»,240,1,12400
19+35,Программы для лица и головы «Голова»+SPA - уход «Целебные травы»,210,1,10800
25+32,Массаж в 4 руки «Тай в 4 руки»+SPA - уход «Принцесса сиама»,150,1,12000
1+10+4,Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Восстанавливающий»,180,1,10400
6+24+1+4,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",210,1,11600
45+12,Программы для похудения «Талассотерапия»+Relax массаж «Тай Оил»,180,1,11600
23+22+3+4,Программы для рук и ног «Ноги»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
SPA Норм 2,16000,12800,9600
18+36,Программы для лица и головы «Лицо»+SPA - уход «Обновление и тонус»,240,1,12800
43+6+2,"Программы для похудения «Слим»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,11200
25+14,Массаж в 4 руки «Тай в 4 руки»+Relax массаж «Тай Оил»,180,1,12800
8+16,Массаж с проработкой «Тай + травяные мешочки»+Relax массаж Тай Оил + травяные мешочки,180,1,10400
35+10,SPA - уход «Целебные травы»+Массаж с проработкой «Спорт-oil»,240,1,12800
36,SPA - уход «Обновление и тонус»,210,1,10800
32+3,SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
19+7+2,"Программы для лица и головы «Голова»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,9600
22+44+1,Программы для рук и ног «Руки»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10800
22+23+2+5,Программы для рук и ног «Руки»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
44+10+1,Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12800
18+34+1,Программы для лица и головы «Лицо»+SPA - уход «Мужской комплимент»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
25+24,Массаж в 4 руки «Тай в 4 руки»+Программы для рук и ног «Ноги»,120,1,9600
18+6+3+4,"Программы для лица и головы «Лицо»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",240,1,12800
SPA Норм 2,16000,12800,9600
4+19+2+6,"Массаж с проработкой «Восстанавливающий»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,11600
45+6,"Программы для похудения «Талассотерапия»+Массаж с проработкой «Спина, Шея, и Плечи»",150,1,10000
35+22,SPA - уход «Целебные травы»+Программы для рук и ног «Руки»,210,1,10800
22+31+2,Программы для рук и ног «Руки»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
4+46,Массаж с проработкой «Восстанавливающий»+Программы для похудения «Имбирный коктейль»,180,1,11200
22+19+2+5,Программы для рук и ног «Руки»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
45+43,Программы для похудения «Талассотерапия»+Программы для похудения «Слим»,180,1,12800
43+22+3,Программы для похудения «Слим»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
15+31+1,Relax массаж Тай Оил + травяные мешочки+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
22+2+4+6,"Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,11600
22+10+3,Программы для рук и ног «Руки»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
31+46,SPA - уход «Бархатное прикосновение»+Программы для похудения «Имбирный коктейль»,180,1,11600
45+9,Программы для похудения «Талассотерапия»+Массаж с проработкой «Тай + травяные мешочки»,210,1,12800
18+46,Программы для лица и головы «Лицо»+Программы для похудения «Имбирный коктейль»,150,1,10000
19+18+3+4,Программы для лица и головы «Голова»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
SPA Норм 2,16000,12800,9600
25+20+1,Массаж в 4 руки «Тай в 4 руки»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,11600
22+32+2,Программы для рук и ног «Руки»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
23+11+1,Программы для рук и ног «Ноги»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,11200
43+18+2,Программы для похудения «Слим»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,11200
23+20+1+4,Программы для рук и ног «Ноги»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,180,1,10400
25+19+2,Массаж в 4 руки «Тай в 4 руки»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,12800
10+1+4,Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,180,1,10400
43+46,Программы для похудения «Слим»+Программы для похудения «Имбирный коктейль»,180,1,12800
19+29,Программы для лица и головы «Голова»+Массаж в 4 руки «Тай Ойл в 4 руки»,120,1,11600
6+28+1,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»",150,1,12400
46+10,Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Спорт-oil»,180,1,12000
SPA Норм 2,16000,12800,9600
44+22+2,Программы для похудения «Слим и тай ойл»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
34+24,SPA - уход «Мужской комплимент»+Программы для рук и ног «Ноги»,180,1,9600
6+31+1+4,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",210,1,12000
15+14,Relax массаж Тай Оил + травяные мешочки+Relax массаж «Тай Оил»,210,1,11600
25+7,"Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Спина, Шея, и Плечи»",120,1,9600
18+35,Программы для лица и головы «Лицо»+SPA - уход «Целебные травы»,210,1,10800
23+5+2,Программы для рук и ног «Ноги»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,10800
19+46,Программы для лица и головы «Голова»+Программы для похудения «Имбирный коктейль»,150,1,10000
8+6+3,"Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,11200
15+43,Relax массаж Тай Оил + травяные мешочки+Программы для похудения «Слим»,150,1,10000
22+8+2,Программы для рук и ног «Руки»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
19+33+2,Программы для лица и головы «Голова»+SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
SPA Норм 2,16000,12800,9600
12+31+3,Relax массаж «Тай Оил»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
17+16,Relax массаж Стоун+Relax массаж Тай Оил + травяные мешочки,210,1,11600
46+17,Программы для похудения «Имбирный коктейль»+Relax массаж Стоун,210,1,12800
12+8+2,Relax массаж «Тай Оил»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
4+24+3,Массаж с проработкой «Восстанавливающий»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12000
32+34,SPA - уход «Принцесса сиама»+SPA - уход «Мужской комплимент»,210,1,12000
34+12,SPA - уход «Мужской комплимент»+Relax массаж «Тай Оил»,180,1,10000
22+21+2,Программы для рук и ног «Руки»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
12+7+3,"Relax массаж «Тай Оил»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",240,1,12400
25+2,Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,10800
43+45,Программы для похудения «Слим»+Программы для похудения «Талассотерапия»,180,1,12800
31+12+2,SPA - уход «Бархатное прикосновение»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
33+14,SPA - уход «Королевская спа программа»+Relax массаж «Тай Оил»,240,1,12800
44+34,Программы для похудения «Слим и тай ойл»+SPA - уход «Мужской комплимент»,210,1,12000
SPA Норм 2,16000,12800,9600
15+32,Relax массаж Тай Оил + травяные мешочки+SPA - уход «Принцесса сиама»,180,1,10800
12+18+3,Relax массаж «Тай Оил»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
15+18+1,Relax массаж Тай Оил + травяные мешочки+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10400
10+4+3,Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
25+31,Массаж в 4 руки «Тай в 4 руки»+SPA - уход «Бархатное прикосновение»,120,1,10000
17+11,Relax массаж Стоун+Массаж с проработкой «Спорт-oil»,180,1,10800
34+17,SPA - уход «Мужской комплимент»+Relax массаж Стоун,210,1,11200
34+3,SPA - уход «Мужской комплимент»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12000
4+33+1,Массаж с проработкой «Восстанавливающий»+SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
23+19+1+5,Программы для рук и ног «Ноги»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,11600
43+44,Программы для похудения «Слим»+Программы для похудения «Слим и тай ойл»,150,1,10400
33+11,SPA - уход «Королевская спа программа»+Массаж с проработкой «Спорт-oil»,210,1,12400
SPA Норм 2,16000,12800,9600
8+11,Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Спорт-oil»,150,1,9600
6+1+5,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",180,1,9600
19+23+3,Программы для лица и головы «Голова»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
34+4,SPA - уход «Мужской комплимент»+Массаж с проработкой «Восстанавливающий»,180,1,9600
23+1+5,Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,180,1,9600
1+33,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Королевская спа программа»,180,1,9600
12+45,Relax массаж «Тай Оил»+Программы для похудения «Талассотерапия»,180,1,11600
44+33,Программы для похудения «Слим и тай ойл»+SPA - уход «Королевская спа программа»,210,1,12000
20+5+1,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
27,Массаж в 4 руки «Тай в 4 руки»,120,1,11200
46+18,Программы для похудения «Имбирный коктейль»+Программы для лица и головы «Лицо»,150,1,10000
SPA Норм 2,16000,12800,9600
36+18,SPA - уход «Обновление и тонус»+Программы для лица и головы «Лицо»,240,1,12800
25+33,Массаж в 4 руки «Тай в 4 руки»+SPA - уход «Королевская спа программа»,180,1,12800
4+35,Массаж с проработкой «Восстанавливающий»+SPA - уход «Целебные травы»,240,1,12000
25+22+1,Массаж в 4 руки «Тай в 4 руки»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,11600
33+31,SPA - уход «Королевская спа программа»+SPA - уход «Бархатное прикосновение»,180,1,10000
45+1,Программы для похудения «Талассотерапия»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,11200
45+19,Программы для похудения «Талассотерапия»+Программы для лица и головы «Голова»,150,1,10000
19+22+2+4,Программы для лица и головы «Голова»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,11600
23+43+2,Программы для рук и ног «Ноги»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,11200
4+17+1,Массаж с проработкой «Восстанавливающий»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
6+17+2,"Массаж с проработкой «Спина, Шея, и Плечи»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,11200
8+32+1,Массаж с проработкой «Тай + травяные мешочки»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
8+4+1,Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
15+33,Relax массаж Тай Оил + травяные мешочки+SPA - уход «Королевская спа программа»,210,1,11600
43+34,Программы для похудения «Слим»+SPA - уход «Мужской комплимент»,180,1,11200
SPA Норм 2,16000,12800,9600
4+33,Массаж с проработкой «Восстанавливающий»+SPA - уход «Королевская спа программа»,180,1,9600
43+6+2,"Программы для похудения «Слим»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,11200
45+21,Программы для похудения «Талассотерапия»+Программы для лица и головы «Лицо и голова»,180,1,11600
15+17,Relax массаж Тай Оил + травяные мешочки+Relax массаж Стоун,180,1,10000
22+2+4,Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,180,1,9600
19+31+2,Программы для лица и головы «Голова»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
46+18,Программы для похудения «Имбирный коктейль»+Программы для лица и головы «Лицо»,150,1,10000
31+6+3,"SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,11200
43+22+3,Программы для похудения «Слим»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
43+18+2,Программы для похудения «Слим»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,11200
44+43,Программы для похудения «Слим и тай ойл»+Программы для похудения «Слим»,150,1,10400
31+35,SPA - уход «Бархатное прикосновение»+SPA - уход «Целебные травы»,240,1,12400
8+46,Массаж с проработкой «Тай + травяные мешочки»+Программы для похудения «Имбирный коктейль»,180,1,11600
6+44+2,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,12000
SPA Лукс 2,24000,19200,14400
45+29,Программы для похудения «Талассотерапия»+Массаж в 4 руки «Тай Ойл в 4 руки»,210,1,17600
45+43+1,Программы для похудения «Талассотерапия»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,16000
43+32+2,Программы для похудения «Слим»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14800
32+26+1,SPA - уход «Принцесса сиама»+Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,17600
25+4+1+6,"Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,14800
22+46+2,Программы для рук и ног «Руки»+Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
44+26,Программы для похудения «Слим и тай ойл»+Массаж в 4 руки «Тай в 4 руки»,180,1,14400
28+32+2,Массаж в 4 руки «Тай Ойл в 4 руки»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,17200
8+46+1,Массаж с проработкой «Тай + травяные мешочки»+Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14800
8+45+1,Массаж с проработкой «Тай + травяные мешочки»+Программы для похудения «Талассотерапия»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14800
46+45,Программы для похудения «Имбирный коктейль»+Программы для похудения «Талассотерапия»,240,1,16000
25+22+1+5,Массаж в 4 руки «Тай в 4 руки»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,16000
SPA Лукс 2,24000,19200,14400
45+1+4,Программы для похудения «Талассотерапия»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,14400
45+33,Программы для похудения «Талассотерапия»+SPA - уход «Королевская спа программа»,240,1,14400
32+26,SPA - уход «Принцесса сиама»+Массаж в 4 руки «Тай в 4 руки»,180,1,14400
25+19+2+4,Массаж в 4 руки «Тай в 4 руки»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,16000
1+46+4,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Восстанавливающий»,240,1,14400
25+43+1+4,Массаж в 4 руки «Тай в 4 руки»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,17600
15+29,Relax массаж Тай Оил + травяные мешочки+Массаж в 4 руки «Тай Ойл в 4 руки»,180,1,14800
25+44+2,Массаж в 4 руки «Тай в 4 руки»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,16400
45+16,Программы для похудения «Талассотерапия»+Relax массаж Тай Оил + травяные мешочки,240,1,14800
12+27,Relax массаж «Тай Оил»+Массаж в 4 руки «Тай в 4 руки»,180,1,14800
10+25+3,Массаж с проработкой «Спорт-oil»+Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,16000
4+43+2+6,"Массаж с проработкой «Восстанавливающий»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,14400
SPA Лукс 2,24000,19200,14400
18+45+2,Программы для лица и головы «Лицо»+Программы для похудения «Талассотерапия»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
46+33,Программы для похудения «Имбирный коктейль»+SPA - уход «Королевская спа программа»,240,1,14400
28+46,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для похудения «Имбирный коктейль»,180,1,15200
10+45+1,Массаж с проработкой «Спорт-oil»+Программы для похудения «Талассотерапия»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,15200
46+28,Программы для похудения «Имбирный коктейль»+Массаж в 4 руки «Тай Ойл в 4 руки»,180,1,15200
23+45+2,Программы для рук и ног «Ноги»+Программы для похудения «Талассотерапия»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
6+43+1+5,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",240,1,14400
17+27,Relax массаж Стоун+Массаж в 4 руки «Тай в 4 руки»,210,1,16000
46+18+2,Программы для похудения «Имбирный коктейль»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
44+32+1,Программы для похудения «Слим и тай ойл»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,14400
28+43+3,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,17600
8+25+3,Массаж с проработкой «Тай + травяные мешочки»+Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,15600
SPA Лукс 2,24000,19200,14400
25+31+2,Массаж в 4 руки «Тай в 4 руки»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,14400
